word,original_word,severity,confidence,avg_toxicity,max_toxicity,median_toxicity,natural_usage_score,final_score,high_toxicity_percentage,sentences_analyzed,word_length,has_symbols,has_numbers,has_spaces
darkie,darkie,UNOFFENSIVE,0.8008340623701224,0.1682152474910253,0.965286135673523,0.0056939185597002,0.1991659376298776,0.1991659376298776,5.0,20,6,0,0,0
darkieface,darkie,UNOFFENSIVE,0.8323064931109547,0.1257202034816145,0.8364763259887695,0.0287125073373317,0.1676935068890452,0.1676935068890452,5.0,20,10,0,0,0
darkiewad,darkie,UNOFFENSIVE,0.8,0.1960248073068214,0.9569813013076782,0.0377732161432504,0.2246449793578358,0.2246449793578358,10.0,20,9,0,0,0
darkiehead,darkie,LOW,0.5,0.3507890519977081,0.9696447253227234,0.3890752345323562,0.4241604740906041,0.4241604740906041,5.0,20,10,0,0,0
darkieing,darkie,UNOFFENSIVE,0.8382497915241401,0.1029006050375755,0.98403799533844,0.0053534863982349,0.1617502084758598,0.1617502084758598,5.0,20,9,0,0,0
darkier,darkie,UNOFFENSIVE,0.9965025719866388,0.0026060923846671,0.0157030448317527,0.0012115603312849,0.003497428013361,0.003497428013361,0.0,20,7,0,0,0
darkied,darkie,UNOFFENSIVE,0.8588537953834747,0.0958517634164309,0.8328632116317749,0.0011627513449639,0.1411462046165252,0.1411462046165252,5.0,20,7,0,0,0
darkiing,darkie,UNOFFENSIVE,0.8524899536755401,0.1284998408111278,0.6843684911727905,0.0065776424016803,0.1475100463244598,0.1475100463244598,0.0,20,8,0,0,0
fag,fag,MEDIUM,0.7349324019253254,0.6834671847522259,0.9987905621528624,0.7499101161956787,0.7349324019253254,0.7349324019253254,35.0,20,3,0,0,0
fagbag,fag,MEDIUM,0.756177020817995,0.6985072009265423,0.998427391052246,0.7907665371894836,0.756177020817995,0.756177020817995,45.0,20,6,0,0,0
fagly,fag,LOW,0.586872047611978,0.5404170460649766,0.9976388216018676,0.5428597927093506,0.586872047611978,0.586872047611978,30.0,20,5,0,0,0
fagface,fag,LOW,0.5161275208741426,0.4783324029296636,0.8951044082641602,0.4653921276330948,0.5161275208741426,0.5161275208741426,15.0,20,7,0,0,0
fagwad,fag,MEDIUM,0.686384887471795,0.6378781612962484,0.9935917258262634,0.6809960603713989,0.686384887471795,0.686384887471795,35.0,20,6,0,0,0
fags,fag,MEDIUM,0.7068871062994002,0.6766396880149841,0.9844955801963806,0.6748457849025726,0.7068871062994002,0.7068871062994002,30.0,20,4,0,0,0
faghead,fag,MEDIUM,0.6050162345916033,0.5571140151470899,0.995027720928192,0.570816844701767,0.6050162345916033,0.6050162345916033,25.0,20,7,0,0,0
faging,fag,LOW,0.5,0.4616980031132698,0.993069052696228,0.4027268588542938,0.4971437647938728,0.4971437647938728,15.0,20,6,0,0,0
faged,fag,LOW,0.5,0.3090381193906069,0.8717208504676819,0.2441139444708824,0.345829140022397,0.345829140022397,5.0,20,5,0,0,0
fager,fag,MEDIUM,0.679900821056217,0.6510418438352644,0.9356794953346252,0.6523592174053192,0.679900821056217,0.679900821056217,35.0,20,5,0,0,0
fagy,fag,LOW,0.5,0.3628635843051597,0.919603168964386,0.4077502787113189,0.4320035510929301,0.4320035510929301,10.0,20,4,0,0,0
fages,fag,LOW,0.508242309410125,0.4769606347195804,0.9359531402587892,0.4282353818416595,0.508242309410125,0.508242309410125,25.0,20,5,0,0,0
faggoter,faggot,MEDIUM,0.8433546745777131,0.8128099381923676,0.997901201248169,0.852928638458252,0.8433546745777131,0.8433546745777131,70.0,20,8,0,0,0
faggoted,faggot,CRITICAL,0.9475640338659286,0.8708950847387313,0.9983797073364258,0.9172967076301576,0.8975640338659285,0.8975640338659285,65.0,20,8,0,0,0
faggotly,faggot,CRITICAL,0.9402463179826736,0.8726403832435607,0.9987095594406128,0.8893037736415863,0.8902463179826735,0.8902463179826735,85.0,20,8,0,0,0
faggot,faggot,CRITICAL,0.95,0.872297179698944,0.9984250068664552,0.9230823516845704,0.900145514011383,0.900145514011383,85.0,20,6,0,0,0
faggotes,faggot,CRITICAL,0.9116306227445604,0.8299190819263458,0.9985302686691284,0.8794204890727997,0.8616306227445603,0.8616306227445603,70.0,20,8,0,0,0
faggots,faggot,CRITICAL,0.95,0.9059768915176392,0.9974507689476012,0.9539760649204254,0.9295240312814712,0.9295240312814712,75.0,20,7,0,0,0
faggothead,faggot,MEDIUM,0.811475249528885,0.7744539171457291,0.9964739680290222,0.8238516747951508,0.811475249528885,0.811475249528885,55.00000000000001,20,10,0,0,0
faggoting,faggot,MEDIUM,0.82498505204916,0.8038274958729744,0.997688055038452,0.8097324967384338,0.82498505204916,0.82498505204916,60.0,20,9,0,0,0
faggotwad,faggot,CRITICAL,0.95,0.8858480021357537,0.998652160167694,0.939860224723816,0.9133320847153664,0.9133320847153664,80.0,20,9,0,0,0
faggoty,faggot,CRITICAL,0.9381610870361328,0.8746173679828644,0.9984342455863952,0.8784908056259155,0.8881610870361327,0.8881610870361327,75.0,20,7,0,0,0
faggotbag,faggot,CRITICAL,0.95,0.8857622176408768,0.9955552220344543,0.9328743815422058,0.9108751672506332,0.9108751672506332,80.0,20,9,0,0,0
faggotface,faggot,CRITICAL,0.95,0.9112478226423264,0.9941615462303162,0.96685191988945,0.9362204241752624,0.9362204241752624,85.0,20,10,0,0,0
honkeywad,honkey,LOW,0.5,0.2592336517758667,0.9931216835975648,0.0616057571023702,0.2733340865559876,0.2733340865559876,10.0,20,9,0,0,0
honkeys,honkey,UNOFFENSIVE,0.8,0.1969852356734918,0.9783805012702942,0.052091279067099,0.2316565752512542,0.2316565752512542,5.0,20,7,0,0,0
honkeybag,honkey,LOW,0.5,0.3376178858568892,0.9161641597747804,0.2534886300563812,0.3702337365085259,0.3702337365085259,15.0,20,9,0,0,0
honkeyes,honkey,UNOFFENSIVE,0.8059877966303611,0.1690074084704974,0.8651024699211121,0.0203250376507639,0.1940122033696389,0.1940122033696389,5.0,20,8,0,0,0
honkeyer,honkey,UNOFFENSIVE,0.8323107261431869,0.1396842205256689,0.8304740786552429,0.0027711122529581,0.1676892738568131,0.1676892738568131,5.0,20,8,0,0,0
honkeyly,honkey,UNOFFENSIVE,0.9853505069931272,0.010581397943315,0.0790119990706443,0.0013315144460648,0.0146494930068729,0.0146494930068729,0.0,20,8,0,0,0
honkeyhead,honkey,MEDIUM,0.6127025162649806,0.5219842105230782,0.9463766813278198,0.6829144060611725,0.6127025162649806,0.6127025162649806,40.0,20,10,0,0,0
honkeyy,honkey,UNOFFENSIVE,0.8035623967158608,0.160092551051639,0.9943220615386964,0.0031662216642871,0.1964376032841392,0.1964376032841392,10.0,20,7,0,0,0
honkey,honkey,UNOFFENSIVE,0.8344838085299124,0.1234619690891122,0.8355627655982971,0.0262757781893014,0.1655161914700875,0.1655161914700875,5.0,20,6,0,0,0
honkeyed,honkey,UNOFFENSIVE,0.852193043139996,0.1067438178812153,0.8308655619621277,0.0022470331168733,0.147806956860004,0.147806956860004,5.0,20,8,0,0,0
honkeyface,honkey,LOW,0.5,0.3216722881421446,0.8581584692001343,0.2230659425258636,0.3457390025630593,0.3457390025630593,10.0,20,10,0,0,0
honkeying,honkey,UNOFFENSIVE,0.8637387417536229,0.0897834290633909,0.8084773421287537,0.0051448886515572,0.1362612582463771,0.1362612582463771,5.0,20,9,0,0,0
jigabooer,jigaboo,UNOFFENSIVE,0.8436280481202993,0.1421125347784254,0.6643772721290588,0.0155556793324649,0.1563719518797006,0.1563719518797006,0.0,20,9,0,0,0
jigabooly,jigaboo,UNOFFENSIVE,0.8384560101304669,0.1000556920014787,0.9807342886924744,0.0114571526646614,0.1615439898695331,0.1615439898695331,5.0,20,9,0,0,0
jigaboobag,jigaboo,LOW,0.5,0.3250234140083193,0.952205240726471,0.1241188682615757,0.3274702329561114,0.3274702329561114,20.0,20,10,0,0,0
jigaboohead,jigaboo,UNOFFENSIVE,0.8,0.2018914064159616,0.8754639625549316,0.0662421826273202,0.2285538948932662,0.2285538948932662,5.0,20,11,0,0,0
jigabooface,jigaboo,UNOFFENSIVE,0.8287988494429737,0.1379381496924906,0.8507102727890015,0.0112241115421056,0.1712011505570262,0.1712011505570262,5.0,20,11,0,0,0
jigabooes,jigaboo,UNOFFENSIVE,0.8005122495128307,0.1859055726847145,0.8355743288993835,0.0146232466213405,0.1994877504871692,0.1994877504871692,10.0,20,9,0,0,0
jigaboos,jigaboo,LOW,0.5,0.2626443405315513,0.989252507686615,0.0818456523120403,0.2810655507812044,0.2810655507812044,10.0,20,8,0,0,0
jigabooing,jigaboo,UNOFFENSIVE,0.8,0.1910470124450512,0.9776501655578612,0.0109190349467098,0.2156689345068298,0.2156689345068298,10.0,20,10,0,0,0
jigabooed,jigaboo,UNOFFENSIVE,0.8987644219415961,0.0462913500581635,0.7176571488380432,0.0056501771323382,0.1012355780584039,0.1012355780584039,0.0,20,9,0,0,0
jigaboowad,jigaboo,UNOFFENSIVE,0.8623202612815657,0.1051757796347374,0.7145861387252808,0.0103855235502123,0.1376797387184342,0.1376797387184342,0.0,20,10,0,0,0
jigaboo,jigaboo,UNOFFENSIVE,0.8727277646010043,0.104490124437143,0.6011501550674438,0.0148771507665514,0.1272722353989956,0.1272722353989956,0.0,20,7,0,0,0
jigabooy,jigaboo,UNOFFENSIVE,0.8936628938105423,0.0896050389215815,0.5010657906532288,0.0082250125706195,0.1063371061894577,0.1063371061894577,0.0,20,8,0,0,0
jiggabooly,jiggaboo,UNOFFENSIVE,0.8,0.181823086598888,0.9912419319152832,0.0720028094947338,0.2298188879992813,0.2298188879992813,5.0,20,10,0,0,0
jiggaboowad,jiggaboo,LOW,0.5,0.3011611765483394,0.9139906764030457,0.1525360755622387,0.3178565962379798,0.3178565962379798,15.0,20,11,0,0,0
jiggabooing,jiggaboo,LOW,0.5,0.3778185776434838,0.9159954190254213,0.250526376068592,0.39344860130921,0.39344860130921,20.0,20,11,0,0,0
jiggaboo,jiggaboo,LOW,0.5,0.4037344438489526,0.9671058058738708,0.3678745627403259,0.4493136157188564,0.4493136157188564,10.0,20,8,0,0,0
jiggabooy,jiggaboo,LOW,0.5,0.2724024357739836,0.8885034322738647,0.1499635055661201,0.2972808563616126,0.2972808563616126,5.0,20,9,0,0,0
jiggaboohead,jiggaboo,LOW,0.5396299809403717,0.4984732667915523,0.9457460045814514,0.4865714013576507,0.5396299809403717,0.5396299809403717,25.0,20,12,0,0,0
jiggabooface,jiggaboo,LOW,0.5,0.3076797362882644,0.8102889060974121,0.2705132365226745,0.3467907033395022,0.3467907033395022,5.0,20,12,0,0,0
jiggabooed,jiggaboo,LOW,0.5,0.3219703123439103,0.9898350834846495,0.1052975393831729,0.323754957569763,0.323754957569763,15.0,20,10,0,0,0
jiggabooer,jiggaboo,LOW,0.5,0.3320078507182188,0.9073294401168824,0.193515732884407,0.3479923743079416,0.3479923743079416,15.0,20,10,0,0,0
jiggaboos,jiggaboo,MEDIUM,0.6155092251021416,0.5787913023959845,0.959822118282318,0.5741741061210632,0.6155092251021416,0.6155092251021416,40.0,20,9,0,0,0
jiggaboobag,jiggaboo,MEDIUM,0.7105755628272891,0.6127532424405218,0.9856972694396972,0.8145129680633545,0.7105755628272891,0.7105755628272891,55.00000000000001,20,11,0,0,0
jiggabooes,jiggaboo,LOW,0.5809801092464477,0.5138440563809127,0.9344924688339232,0.5974147617816925,0.5809801092464477,0.5809801092464477,30.0,20,10,0,0,0
jiggerboo,jiggerboo,LOW,0.5,0.3017808169126511,0.9985382556915284,0.235610730946064,0.3516055350005627,0.3516055350005627,10.0,20,9,0,0,0
jiggerbooed,jiggerboo,LOW,0.5,0.3992645492311567,0.9981896281242372,0.2943511605262756,0.4276830405090004,0.4276830405090004,20.0,20,11,0,0,0
jiggerbooly,jiggerboo,UNOFFENSIVE,0.8,0.2122703268658369,0.933026909828186,0.0792233869433403,0.2444319031853228,0.2444319031853228,10.0,20,11,0,0,0
jiggerbooer,jiggerboo,LOW,0.5,0.3993878031149506,0.9461467266082764,0.505599856376648,0.4859273114427924,0.4859273114427924,20.0,20,11,0,0,0
jiggerbooes,jiggerboo,LOW,0.5,0.4167512402869761,0.9112302660942078,0.365937277674675,0.4509549540840089,0.4509549540840089,35.0,20,11,0,0,0
jiggerboobag,jiggerboo,LOW,0.5431706090131774,0.4713925800984725,0.9865794777870178,0.5389237105846405,0.5431706090131774,0.5431706090131774,20.0,20,12,0,0,0
jiggerbooface,jiggerboo,LOW,0.5,0.4182114104041829,0.994239091873169,0.3272324800491333,0.4485204994445667,0.4485204994445667,20.0,20,13,0,0,0
jiggerboowad,jiggerboo,LOW,0.5,0.317446266207844,0.8370068073272705,0.1950785741209983,0.3326920126937329,0.3326920126937329,5.0,20,12,0,0,0
jiggerboos,jiggerboo,LOW,0.5,0.337032514763996,0.995014488697052,0.0884508416056633,0.3282562102098018,0.3282562102098018,20.0,20,10,0,0,0
jiggerbooy,jiggerboo,UNOFFENSIVE,0.8,0.2375050433445721,0.6323500871658325,0.13984140381217,0.2476904558669775,0.2476904558669775,0.0,20,10,0,0,0
jiggerbooing,jiggerboo,LOW,0.5,0.3629565594019368,0.987440586090088,0.327327623963356,0.4147162814391777,0.4147162814391777,10.0,20,12,0,0,0
jiggerboohead,jiggerboo,LOW,0.5,0.3983832167927176,0.9554038047790528,0.3147282153367996,0.4289887751545757,0.4289887751545757,25.0,20,13,0,0,0
kikees,kike,UNOFFENSIVE,0.8682293911289889,0.1153830834955442,0.5602996349334717,0.0217026509344577,0.131770608871011,0.131770608871011,0.0,20,6,0,0,0
kiked,kike,UNOFFENSIVE,0.8,0.2228849239298142,0.8366698026657104,0.0884376093745231,0.2439292174368165,0.2439292174368165,10.0,20,5,0,0,0
kikeed,kike,UNOFFENSIVE,0.8178741806856124,0.1342249152221484,0.989832043647766,0.0086922193877398,0.1821258193143876,0.1821258193143876,10.0,20,6,0,0,0
kikeer,kike,UNOFFENSIVE,0.8602350861189189,0.1129192071181023,0.7121121287345886,0.0026739224558696,0.1397649138810811,0.1397649138810811,0.0,20,6,0,0,0
kikehead,kike,MEDIUM,0.6089421310834586,0.5752728347666561,0.9944164752960204,0.5477892756462097,0.6089421310834586,0.6089421310834586,40.0,20,8,0,0,0
kike,kike,UNOFFENSIVE,0.8,0.1699648035748396,0.9798470735549928,0.0324754426255822,0.2097062222880777,0.2097062222880777,5.0,20,4,0,0,0
kiking,kike,LOW,0.5,0.2777888790238648,0.9101433157920836,0.2074766829609871,0.3199306638818234,0.3199306638818234,5.0,20,6,0,0,0
kikeface,kike,LOW,0.5728298596804962,0.5358262421796098,0.9981673955917358,0.5050579160451889,0.5728298596804962,0.5728298596804962,45.0,20,8,0,0,0
kikewad,kike,LOW,0.5,0.3844354915898293,0.9953386783599854,0.2019958198070526,0.3907939087320119,0.3907939087320119,15.0,20,7,0,0,0
kiker,kike,UNOFFENSIVE,0.8048478960548527,0.1647329721949063,0.9492459297180176,0.0046257588546723,0.1951521039451472,0.1951521039451472,5.0,20,5,0,0,0
kikely,kike,LOW,0.5,0.2604634887276916,0.9979681372642516,0.0030742692761123,0.2569971877458738,0.2569971877458738,15.0,20,6,0,0,0
kikebag,kike,LOW,0.5774689766298979,0.5045876805204899,0.9327863454818726,0.604792445898056,0.5774689766298979,0.5774689766298979,35.0,20,7,0,0,0
kikeing,kike,UNOFFENSIVE,0.8,0.1855500423262128,0.9839698672294616,0.0036372122121974,0.2108181757823331,0.2108181757823331,15.0,20,7,0,0,0
kikey,kike,LOW,0.5,0.2341815156250959,0.9904237389564514,0.129138708114624,0.2782928957050899,0.2782928957050899,10.0,20,5,0,0,0
kikes,kike,LOW,0.5,0.2195803912181873,0.9918823838233948,0.1170889474451541,0.2660631573467981,0.2660631573467981,5.0,20,5,0,0,0
mong,mong,UNOFFENSIVE,0.8,0.2100092949433019,0.9786378741264344,0.0121613875962793,0.2275177806575084,0.2275177806575084,10.0,20,4,0,0,0
monged,mong,UNOFFENSIVE,0.8766941882565152,0.0909675712639,0.6713704466819763,0.0052940810564905,0.1233058117434848,0.1233058117434848,0.0,20,6,0,0,0
mongly,mong,UNOFFENSIVE,0.8254096566868248,0.1318480267858831,0.9502328634262084,0.0015274696634151,0.1745903433131752,0.1745903433131752,10.0,20,6,0,0,0
monger,mong,LOW,0.5,0.3794245442957617,0.9866679906845092,0.2605081647634506,0.4044739750749431,0.4044739750749431,20.0,20,6,0,0,0
monges,mong,UNOFFENSIVE,0.8397253302211174,0.1215609392296755,0.7806902527809143,0.0308969365432858,0.1602746697788825,0.1602746697788825,0.0,20,6,0,0,0
mongface,mong,UNOFFENSIVE,0.8402479130087885,0.1194845547026488,0.8582206964492798,0.0074642817489802,0.1597520869912114,0.1597520869912114,5.0,20,8,0,0,0
monghead,mong,UNOFFENSIVE,0.8,0.2125521591980941,0.9143427014350892,0.0144063038751482,0.2232874568249099,0.2232874568249099,15.0,20,8,0,0,0
monging,mong,UNOFFENSIVE,0.8139183237007819,0.1436768056941218,0.9839209318161012,0.0049449990037828,0.186081676299218,0.186081676299218,10.0,20,7,0,0,0
mongs,mong,UNOFFENSIVE,0.8189533560414566,0.1382732910191407,0.9704609513282776,0.0034552473807707,0.1810466439585434,0.1810466439585434,10.0,20,5,0,0,0
mongy,mong,UNOFFENSIVE,0.8612967588630271,0.0771634191944031,0.9050185680389404,0.0063444427214562,0.1387032411369728,0.1387032411369728,5.0,20,5,0,0,0
mongwad,mong,UNOFFENSIVE,0.8,0.1743225519283441,0.951190948486328,0.0187103413045406,0.2053257283970015,0.2053257283970015,10.0,20,7,0,0,0
mongbag,mong,UNOFFENSIVE,0.8,0.1880604108213447,0.9046112895011902,0.0236584451049566,0.2103949089744128,0.2103949089744128,5.0,20,7,0,0,0
negroly,negro,MEDIUM,0.6261737301945687,0.5704368278384209,0.9883965849876404,0.6169065833091736,0.6261737301945687,0.6261737301945687,20.0,20,7,0,0,0
negroy,negro,LOW,0.5,0.3822207334946143,0.8905149698257446,0.3581257611513138,0.4258216654247371,0.4258216654247371,10.0,20,6,0,0,0
negroed,negro,LOW,0.5,0.3945088477805257,0.9766754508018494,0.2994183078408241,0.4241983461007476,0.4241983461007476,20.0,20,7,0,0,0
negrohead,negro,MEDIUM,0.8217298771813512,0.7539832187816501,0.9935065507888794,0.899964302778244,0.8217298771813512,0.8217298771813512,60.0,20,9,0,0,0
negroing,negro,LOW,0.5,0.4208962271979544,0.9901328086853028,0.3168461769819259,0.4466048702818807,0.4466048702818807,20.0,20,8,0,0,0
negrobag,negro,MEDIUM,0.7142309074103832,0.6677841551601886,0.997437596321106,0.7127221822738647,0.7142309074103832,0.7142309074103832,40.0,20,8,0,0,0
negro,negro,MEDIUM,0.6924737598001957,0.6402281515300274,0.9531063437461852,0.7100874483585358,0.6924737598001957,0.6924737598001957,40.0,20,5,0,0,0
